,1,2,3,4,5,total_cases
0,-1.081814444,-1.183554007,-0.75957121,-1.272727273,-0.542447969,4
1,-0.559956146,-0.58369338,-0.2143951,-0.272727273,-0.541333423,5
2,0.006303961,-0.005017422,-0.2143951,0,-0.530952774,4
3,-0.061121009,-0.053519164,0.110260337,0.227272727,-0.51060483,3
4,0.144991092,0.146062718,0.741194487,0.5,-0.479788615,6
5,0.146087433,0.157770035,0.385911179,0.5,-0.438228896,2
6,0.15430999,0.163344948,0.08575804,0.227272727,-0.385896038,4
7,0.439358641,0.423135888,0.496171516,0,-0.323020179,5
8,0.367548308,0.363484321,0.477794793,0,-0.250099731,10
9,0.475537892,0.469965157,0.477794793,0.727272727,-0.167904211,6
10,0.225023982,0.231916376,0.147013783,-0.5,-0.077471389,8
11,0.347266,0.34620209,0.392036753,0.5,0.019901231,2
12,0.195422776,0.200139373,0.385911179,0,0.122670615,6
13,0.292448952,0.283205575,0.441041348,0,0.229068065,17
14,0.428943401,0.42369338,0.422664625,0.227272727,0.337124777,23
15,0.646018912,0.619930314,0.355283308,0,0.444703054,13
16,0.515006167,0.500069687,0.483920368,0.227272727,0.549533215,21
17,0.646018912,0.612682927,0.618683002,0.727272727,0.649256162,28
18,0.27929286,0.261463415,0.477794793,0.227272727,0.741471633,24
19,0.74633411,0.681254355,0.63093415,0.727272727,0.823792124,20
20,0.407016582,0.384111498,0.441041348,0.5,0.893902489,40
21,0.244209949,0.226898955,0.483920368,0.727272727,0.949625218,27
22,0.517198849,0.474982578,0.667687596,0.5,0.988991379,42
23,0.644922571,0.578118467,0.606431853,0.727272727,1.010317253,33
24,0.492531177,0.42815331,0.177641654,0.227272727,1.012286625,43
25,0.352199534,0.316097561,-0.189892802,-0.5,0.994038764,37
26,0.46128546,0.424250871,0.324655436,0,0.955262071,57
27,0.476634233,0.435958188,0.539050536,0.5,0.896293409,71
28,0.09730026,0.093658537,0.140888208,-0.272727273,0.818223097,44
29,-0.030423462,-0.027874564,-0.177641654,-0.272727273,0.72300559,56
30,-0.239276415,-0.248083624,-0.434915773,-1,0.613575828,53
31,-0.257366041,-0.259233449,-0.526799387,-0.272727273,0.493971265,52
32,-1.234205838,-1.343554007,-1.084226646,-1.545454545,0.369459565,47
33,-0.336850761,-0.346759582,-0.643185299,-0.772727273,0.246671984,26
34,-1.208441825,-1.303972125,-0.882082695,-0.772727273,0.133742417,27
35,-1.274222283,-1.381463414,-1.212863706,-1.772727273,0.14971853,21
36,-0.829107853,-0.844599303,-0.986217458,-0.772727273,0.055436078,21
37,-0.78032068,-0.793867596,-0.84532925,-0.772727273,-0.019901231,26
38,-1.133342469,-1.195818815,-1.071975498,-2.045454545,-0.081593475,34
39,-1.069754694,-1.121672474,-1.022970904,-1.772727273,-0.133838681,37
40,-0.878991366,-0.896445993,-0.924961715,-1,-0.17985483,17
41,-0.910237084,-0.965574913,-0.88820827,-1.772727273,-0.22199619,19
42,-0.68932438,-0.708571429,-0.58805513,-1.272727273,-0.261863966,25
43,-0.781965191,-0.796097561,-0.839203675,-1.272727273,-0.300411281,18
44,-0.733726189,-0.747595819,-0.514548239,-1,-0.338042483,21
45,-0.784706044,-0.823972125,-0.551301685,-1,-0.374706771,17
46,-0.800602988,-0.855749129,-0.483920368,-0.772727273,-0.409986153,17
47,-0.646018912,-0.66620209,-0.496171516,-0.272727273,-0.443177721,16
48,-1.090037002,-1.157909407,-0.84532925,-1,-0.473370257,16
49,-0.705769494,-0.714703832,-0.820826953,-0.772727273,-0.499515161,15
50,-1.189255859,-1.278885017,-0.728943338,-0.772727273,-0.520491706,23
51,-0.525969577,-0.55358885,-0.294027565,-0.5,-0.535166617,16
52,-0.198711799,-0.186202091,0.04287902,0,-0.542447969,17
53,-0.248047143,-0.247526132,-0.122511485,0,-0.541333423,12
54,-0.329176374,-0.323344947,-0.294027565,0,-0.530952774,17
55,-0.126901466,-0.125993031,0.073506891,0,-0.51060483,10
56,-0.071536248,-0.067456446,0.312404288,0.227272727,-0.479788615,15
57,-0.194874606,-0.20348432,0.367534456,0.227272727,-0.438228896,19
58,0.019460052,0.017839721,0.434915773,0.5,-0.385896038,21
59,0.334658079,0.3328223,0.735068913,1,-0.323020179,14
60,0.305605043,0.304947735,0.300153139,0,-0.250099731,18
61,0.19980814,0.19456446,0.496171516,0.5,-0.167904211,13
62,0.122516102,0.134355401,0.514548239,0.727272727,-0.077471389,14
63,0.245854461,0.247526132,0.679938744,0.5,0.019901231,18
64,0.346169659,0.345644599,0.336906585,0.727272727,0.122670615,23
65,0.401534877,0.402508711,0.581929556,1,0.229068065,25
66,0.408112923,0.398606272,0.551301685,0.727272727,0.337124777,62
67,0.414142798,0.404738676,0.949464012,1.272727273,0.444703054,60
68,0.452514732,0.442648083,0.882082695,0.727272727,0.549533215,76
69,0.483212279,0.477212544,0.404287902,0.5,0.649256162,66
70,0.548992737,0.52738676,0.741194487,0.727272727,0.741471633,64
71,0.408112923,0.391916376,0.753445636,0.227272727,0.823792124,68
72,0.601617103,0.567526132,0.728943338,0.727272727,0.893902489,89
73,0.465122653,0.445993031,0.398162328,0.727272727,0.949625218,92
74,0.390571468,0.370731707,0.226646248,0.227272727,0.988991379,140
75,0.196519117,0.171707317,0.189892802,0,1.010317253,116
76,0.229957517,0.222996516,0.569678407,0.727272727,1.012286625,142
77,0.006852131,0.003344948,0.263399694,0.227272727,0.994038764,129
78,0.208578868,0.183972126,0.385911179,0.727272727,0.955262071,140
79,0.05180211,0.046829268,-0.012251149,0,0.896293409,140
80,0.087981362,0.065783972,-0.238897397,-0.272727273,0.818223097,127
81,-0.526517747,-0.553031359,-0.385911179,-0.272727273,0.72300559,129
82,-0.195422776,-0.198466899,-0.404287902,-0.272727273,0.613575828,169
83,-0.188844731,-0.184529617,-0.208269525,0.227272727,0.493971265,141
84,-0.363711114,-0.364041812,-0.686064319,-0.5,0.369459565,108
85,-0.957927916,-1.007386759,-0.949464012,-1,0.246671984,78
86,-1.226531451,-1.327386759,-1.225114855,-1.545454545,0.133742417,70
87,-0.107339443,-0.131755573,-0.089084293,-0.090615836,0.14971853,81
88,-0.365903796,-0.386341463,-0.667687596,-1,0.055436078,104
89,-0.383445251,-0.382439024,-0.747320061,-0.5,-0.019901231,90
90,-0.901466356,-0.946620209,-1.010719755,-1.272727273,-0.081593475,85
91,-1.015485816,-1.064808362,-1.035222052,-1.272727273,-0.133838681,55
92,-1.039605317,-1.104390244,-1.071975498,-1.272727273,-0.17985483,53
93,-0.296286145,-0.311080139,-0.508422665,-1.272727273,-0.22199619,65
94,-0.698095108,-0.709686411,-0.624808576,-0.5,-0.261863966,33
95,-0.94038646,-0.967804878,-0.826952527,-0.5,-0.300411281,38
96,-0.817596272,-0.831219512,-0.667687596,-1,-0.338042483,59
97,-0.724407291,-0.744250871,-0.612557427,-0.5,-0.374706771,40
98,-0.650952446,-0.678466899,-0.477794793,-0.5,-0.409986153,37
99,-0.715088392,-0.729198606,-0.434915773,-0.272727273,-0.443177721,29
100,-0.601617103,-0.60989547,-0.422664625,-0.5,-0.473370257,30
101,-0.467863506,-0.488362369,-0.098009188,-0.5,-0.499515161,30
102,-0.194874606,-0.196794425,-0.17151608,0,-0.520491706,28
103,-0.529258599,-0.545783972,-0.232771822,-0.272727273,-0.535166617,23
104,-0.741400576,-0.798885017,0.067381317,0.227272727,-0.542447969,24
105,-0.415239139,-0.478327526,-0.183767228,-0.272727273,-0.541333423,29
106,-0.439358641,-0.457142857,0.098009188,0,-0.530952774,26
107,0.15376182,0.124878049,0.275650842,0.227272727,-0.51060483,23
108,0.383993422,0.34620209,0.091883614,0.5,-0.479788615,20
109,0.446484857,0.419790941,0.122511485,0,-0.438228896,19
110,0.283130053,0.275958188,0.422664625,0.727272727,-0.385896038,20
111,0.23379471,0.232473868,0.45941807,0.727272727,-0.323020179,26
112,0.374126353,0.365714286,0.54517611,0.5,-0.250099731,29
113,0.320405646,0.323344948,0.863705972,1.272727273,-0.167904211,31
114,0.282581883,0.293240418,0.649310873,0.727272727,-0.077471389,28
115,0.229409346,0.236376307,0.177641654,0.5,0.019901231,26
116,0.159791695,0.167247387,0.147013783,0.227272727,0.122670615,32
117,0.10826367,0.11651568,0.324655436,0,0.229068065,35
118,0.274359326,0.277630662,0.367534456,0.227272727,0.337124777,33
119,0.223927641,0.218536585,0.196018377,0,0.444703054,30
120,0.295189804,0.299372822,0.428790199,0.727272727,0.549533215,52
121,0.240372756,0.23804878,0.453292496,0.5,0.649256162,59
122,0.280937372,0.284320558,0.649310873,0.727272727,0.741471633,67
123,0.19980814,0.191219512,0.349157734,0.5,0.823792124,65
124,0.272166644,0.259233449,0.398162328,0.5,0.893902489,74
125,0.352747705,0.325574913,0.147013783,0.227272727,0.949625218,70
126,0.296286145,0.266480836,0.324655436,0.227272727,0.988991379,61
127,0.408661094,0.381324042,0.71669219,0.5,1.010317253,53
128,0.182814855,0.173937282,0.833078101,1,1.012286625,76
129,0.081403316,0.077491289,0.618683002,0.5,0.994038764,61
130,0.159243525,0.139930314,0.624808576,0.5,0.955262071,57
131,0.344525147,0.321114983,0.50229709,-0.272727273,0.896293409,44
132,-0.134575853,-0.145505227,0.140888208,0,0.818223097,34
133,-0.293545293,-0.309965157,-0.226646248,-0.272727273,0.72300559,47
134,0.26723311,0.231916376,0.079632466,0.227272727,0.613575828,60
135,-0.058928327,-0.075818815,-0.251148545,-0.272727273,0.493971265,60
136,-0.309990407,-0.311080139,-0.12863706,-0.272727273,0.369459565,53
137,-0.606550637,-0.63163763,-0.226646248,-0.5,0.246671984,36
138,-0.962313279,-1.033031359,-0.557427259,-0.5,0.133742417,31
139,-0.107339443,-0.131755573,-0.089084293,-0.090615836,0.040452126,30
140,-0.503494587,-0.50620209,-0.575803982,-0.5,0.14971853,32
141,-0.907496231,-0.928222996,-1.163859112,-1,0.055436078,28
142,-0.898725504,-0.92543554,-1.010719755,-1.272727273,-0.019901231,33
143,-0.968891325,-1.016864111,-1.206738132,-1.272727273,-0.081593475,33
144,-0.529258599,-0.551916376,-0.232771822,-1.545454545,-0.133838681,35
145,-0.938741949,-1.005156794,-0.765696784,-1,-0.17985483,22
146,-0.797862135,-0.821184669,-0.404287902,-1,-0.22199619,13
147,-1.153076607,-1.227595819,-0.649310873,-1,-0.261863966,13
148,-1.280800329,-1.379790941,-0.704441041,-0.772727273,-0.300411281,21
149,-1.630533096,-1.822996515,-0.992343032,-1.545454545,-0.338042483,17
150,-0.67836097,-0.684599303,-0.122511485,-0.772727273,-0.374706771,11
151,-0.83787858,-0.868013937,-0.45941807,-1,-0.409986153,8
152,-0.626284775,-0.637770035,-0.140888208,-0.272727273,-0.443177721,8
153,-0.640537207,-0.661184669,-0.006125574,-0.772727273,-0.473370257,6
154,-0.511168974,-0.539094076,-0.061255743,-0.272727273,-0.499515161,6
155,-0.515554337,-0.53630662,-0.575803982,-0.5,-0.520491706,7
156,-0.090174044,-0.098675958,0.116385911,-0.272727273,-0.535166617,12
157,-0.066602713,-0.073031359,-0.116385911,-0.272727273,-0.542447969,17
158,-0.216801425,-0.234146341,-0.318529862,0,-0.541333423,10
159,0.009592983,-0.047944251,0.434915773,0.227272727,-0.530952774,10
160,0.519391531,0.479442509,0.741194487,0.227272727,-0.51060483,18
161,0.429491572,0.391916376,0.183767228,0,-0.479788615,19
162,0.636700014,0.597630662,1.151607963,1,-0.438228896,12
163,0.114293545,0.115400697,0.220520674,0.227272727,-0.385896038,22
164,0.337947102,0.330592334,0.055130168,-0.272727273,-0.323020179,12
165,0.418528162,0.414773519,0.698315467,1,-0.250099731,21
166,0.220638619,0.227456446,0.441041348,0.727272727,-0.167904211,18
167,0.240920926,0.237491289,0.287901991,-0.272727273,-0.077471389,16
168,0.186103878,0.192334495,0.551301685,0.727272727,0.019901231,16
169,0.46128546,0.447108014,0.312404288,-0.272727273,0.122670615,22
170,0.573660408,0.550243902,0.777947933,0.727272727,0.229068065,17
171,0.443744004,0.434843205,0.777947933,1,0.337124777,25
172,0.430039742,0.415888502,0.943338438,0.727272727,0.444703054,23
173,0.41633548,0.406968641,0.753445636,0.727272727,0.549533215,12
174,0.266684939,0.257560976,0.618683002,0.727272727,0.649256162,25
175,0.279841031,0.265923345,0.520673813,0.227272727,0.741471633,28
176,0.334658079,0.329477352,0.594180704,0.5,0.823792124,27
177,0.430039742,0.395818815,0.404287902,0.227272727,0.893902489,18
178,0.494175689,0.469965157,0.45941807,0.5,0.949625218,23
179,0.488145813,0.46271777,0.343032159,0.227272727,0.988991379,23
180,0.394408661,0.381881533,0.508422665,0.727272727,1.010317253,29
181,0.291900781,0.281533101,0.422664625,0.5,1.012286625,38
182,0.277648349,0.260348432,0.367534456,0.5,0.994038764,36
183,0.23379471,0.218536585,0.294027565,0.227272727,0.955262071,43
184,-0.064958202,-0.057979094,0.183767228,0.227272727,0.896293409,46
185,-0.09675209,-0.100905923,-0.018376723,0,0.818223097,31
186,-0.065506372,-0.074703833,-0.140888208,-0.272727273,0.72300559,25
187,-0.1652734,-0.187874564,-0.183767228,-0.772727273,0.613575828,40
188,-0.345073318,-0.361811847,-0.294027565,-0.772727273,0.493971265,31
189,-0.48376045,-0.502299651,-0.422664625,-0.772727273,0.369459565,38
190,-0.453611073,-0.473310104,-0.50229709,-0.5,0.246671984,30
191,-0.403727559,-0.408083624,-0.104134763,-0.5,0.133742417,22
